label,side,time,regime,train_edge,test_edge,test_wr,test_freq,test_n,consistency,decay_pct,validated,note
stoch_xdn,long,all,all,0.1018,0.0791,0.422,71.42,8813,30.117,22.4,True,long | all/all | WR 42% at 71.4/day
stoch_xup,short,all,all,0.0817,0.0746,0.404,71.33,8801,28.839,8.7,True,short | all/all | WR 40% at 71.3/day
rsi_rising,long,all,all,0.0865,0.0713,0.419,49.85,6151,20.903,17.6,True,long | all/all | WR 42% at 49.9/day
rsi_falling,long,all,all,0.0924,0.0501,0.41,49.47,6104,20.265,45.8,True,long | all/all | WR 41% at 49.5/day
rsi_falling,short,all,all,0.0682,0.066,0.407,49.47,6104,20.117,3.3,True,short | all/all | WR 41% at 49.5/day
hist_expand,long,all,all,0.1063,0.0808,0.419,44.91,5541,18.83,24.0,True,long | all/all | WR 42% at 44.9/day
hist_shrink,long,all,all,0.0885,0.0678,0.41,44.35,5473,18.171,23.5,True,long | all/all | WR 41% at 44.4/day
hist_shrink,short,all,all,0.0812,0.0755,0.407,44.35,5473,18.067,6.9,True,short | all/all | WR 41% at 44.4/day
vol_surge,long,all,all,0.0916,0.0703,0.413,37.04,4570,15.308,23.2,True,long | all/all | WR 41% at 37.0/day
vol>1.5x,long,all,all,0.0916,0.0703,0.413,37.04,4570,15.308,23.2,True,long | all/all | WR 41% at 37.0/day
roc5<0,long,all,all,0.1067,0.0803,0.422,29.44,3633,12.415,24.7,True,long | all/all | WR 42% at 29.4/day
roc5>0,short,all,all,0.1063,0.1087,0.419,28.87,3562,12.105,-2.2,True,short | all/all | WR 42% at 28.9/day
price>ema9 & roc5>0,short,all,all,0.115,0.1258,0.428,27.86,3438,11.916,-9.4,True,short | all/all | WR 43% at 27.9/day
after_30m & roc5>0,short,all,all,0.1123,0.115,0.422,27.77,3427,11.711,-2.4,True,short | all/all | WR 42% at 27.8/day
price<ema9,long,all,all,0.1187,0.1125,0.429,27.27,3365,11.699,5.2,True,long | all/all | WR 43% at 27.3/day
price>ema9,short,all,all,0.1194,0.1133,0.424,26.98,3329,11.448,5.1,True,short | all/all | WR 42% at 27.0/day
